variable_x,variable_y,method,coefficient,raw_p_value,bh_adjusted_p_value,n
lidar_distance_m,cumulative_distance_m,spearman,-0.18277029345155835,7.5221291207499371e-76,1.6804756546356243e-75,10000
lidar_distance_m,wheel_imbalance_score,spearman,0.0064562548245625483,0.51856985432820979,0.53910727430160421,10000
lidar_distance_m,lidar_saturation_rate,spearman,-0.084613137429006197,2.3415707654251177e-17,4.0305726290104482e-17,10000
lidar_distance_m,composite_health_score,spearman,0.16636903738973485,5.5039320474627052e-63,1.0702090092288593e-62,10000
battery_soc,wheel_torque_fl,spearman,0.3285851367310591,2.1691498851882465e-250,7.347120578863415e-250,10000
battery_soc,wheel_torque_fr,spearman,0.3210665866455143,1.5911222265107696e-238,4.6407731606564113e-238,10000
battery_soc,wheel_torque_rl,spearman,0.32087408867246253,3.1699821037235306e-238,8.995895159215425e-238,10000
battery_soc,wheel_torque_rr,spearman,0.32200820082979187,5.4227863346083223e-240,1.6268359003824968e-239,10000
battery_soc,ambient_temp_c,spearman,0.69566690002834519,0,0,10000
battery_soc,battery_soc_roll_mean_50,spearman,0.92833895519042342,0,0,10000
battery_soc,battery_soc_roll_std_50,spearman,0.048045143169803343,1.5345005065043901e-06,1.9649091851580604e-06,10000
battery_soc,cumulative_distance_m,spearman,-0.93002711404584215,0,0,10000
battery_soc,wheel_imbalance_score,spearman,-0.059053347358865589,3.4261881799871703e-09,4.8614832283601742e-09,10000
battery_soc,lidar_saturation_rate,spearman,-0.043838500130404828,1.15767417883357e-05,1.3657953795227511e-05,10000
battery_soc,composite_health_score,spearman,0.96897116329278732,0,0,10000
wheel_torque_fl,wheel_torque_fr,spearman,0.81006665757666652,0,0,10000
wheel_torque_fl,wheel_torque_rl,spearman,0.80881824946818248,0,0,10000
wheel_torque_fl,wheel_torque_rr,spearman,0.80980702898207035,0,0,10000
wheel_torque_fl,ambient_temp_c,spearman,0.049037110210371104,9.2929111671064508e-07,1.2046366327730584e-06,10000
wheel_torque_fl,battery_soc_roll_mean_50,spearman,0.34920996952629024,1.0404422338330172e-284,4.5519347730194502e-284,10000
wheel_torque_fl,battery_soc_roll_std_50,spearman,0.061480682541544589,7.5972949989778619e-10,1.1079388540176049e-09,10000
wheel_torque_fl,cumulative_distance_m,spearman,-0.35401800118283905,4.3158911628243825e-293,2.059857145893455e-292,10000
wheel_torque_fl,wheel_imbalance_score,spearman,-0.1805626704296267,4.8130005685311431e-74,1.0528438743661875e-73,10000
wheel_torque_fl,lidar_saturation_rate,spearman,-0.085457738339305228,1.125075755404918e-17,1.9688825719586063e-17,10000
wheel_torque_fl,composite_health_score,spearman,0.33006619235830892,9.0961722124924411e-253,3.1836602743723546e-252,10000
wheel_torque_fr,wheel_torque_rl,spearman,0.80811228589712292,0,0,10000
wheel_torque_fr,wheel_torque_rr,spearman,0.80438160252381607,0,0,10000
wheel_torque_fr,ambient_temp_c,spearman,0.044197415625974151,9.8086375470969145e-06,1.1703487982331546e-05,10000
wheel_torque_fr,battery_soc_roll_mean_50,spearman,0.34518718852201413,8.2822655468079628e-278,3.2208810459808742e-277,10000
wheel_torque_fr,battery_soc_roll_std_50,spearman,0.051682628119446468,2.3275414773824051e-07,3.0548981890644065e-07,10000
wheel_torque_fr,cumulative_distance_m,spearman,-0.34873273910275182,6.937677661427695e-284,2.9138246177996321e-283,10000
wheel_torque_fr,wheel_imbalance_score,spearman,-0.17485288514052885,1.7611031193689997e-69,3.5560736064181728e-69,10000
wheel_torque_fr,lidar_saturation_rate,spearman,-0.087608201898281376,1.6848562285975395e-18,2.9984729491990113e-18,10000
wheel_torque_fr,composite_health_score,spearman,0.32407314459832093,3.144440286699627e-243,1.031769469073315e-242,10000
wheel_torque_rl,wheel_torque_rr,spearman,0.80799493203994932,0,0,10000
wheel_torque_rl,ambient_temp_c,spearman,0.045658886460588854,4.9310520128758669e-06,6.0204704808368142e-06,10000
wheel_torque_rl,battery_soc_roll_mean_50,spearman,0.34408333462296237,6.2232925873146011e-276,2.2532611092001141e-275,10000
wheel_torque_rl,battery_soc_roll_std_50,spearman,0.056728985085970594,1.3726913293177303e-08,1.8964814418205486e-08,10000
wheel_torque_rl,cumulative_distance_m,spearman,-0.34837263142893032,2.8975601208513682e-283,1.1701685103438217e-282,10000
wheel_torque_rl,wheel_imbalance_score,spearman,-0.17700241711802414,3.5160667006621586e-71,7.2389608543044438e-71,10000
wheel_torque_rl,lidar_saturation_rate,spearman,-0.083853516807783302,4.4991987671429969e-17,7.6196108153228176e-17,10000
wheel_torque_rl,composite_health_score,spearman,0.32249646180970704,9.3583721559514426e-241,2.8900855187497098e-240,10000
wheel_torque_rr,ambient_temp_c,spearman,0.046316038351160382,3.5951503500562633e-06,4.4939379375703295e-06,10000
wheel_torque_rr,battery_soc_roll_mean_50,spearman,0.34423191395044989,3.483136666981533e-276,1.306176250118075e-275,10000
wheel_torque_rr,battery_soc_roll_std_50,spearman,0.06275610655631414,3.3636425617891983e-10,4.9744009716600811e-10,10000
wheel_torque_rr,cumulative_distance_m,spearman,-0.3493639364934501,5.6372663887719426e-285,2.5735346557437131e-284,10000
wheel_torque_rr,wheel_imbalance_score,spearman,-0.17478901125189011,1.9767728349861783e-69,3.9162480693122402e-69,10000
wheel_torque_rr,lidar_saturation_rate,spearman,-0.081662155207805232,2.8654888013649689e-16,4.7758146689416152e-16,10000
wheel_torque_rr,composite_health_score,spearman,0.32386182282126913,6.7600287573422704e-243,2.1509182409725403e-242,10000
ambient_temp_c,battery_soc_roll_mean_50,spearman,0.74226639156957108,0,0,10000
ambient_temp_c,battery_soc_roll_std_50,spearman,0.04154307446592926,3.2446054701299419e-05,3.7853730484849318e-05,10000
ambient_temp_c,cumulative_distance_m,spearman,-0.74280414766663772,0,0,10000
ambient_temp_c,wheel_imbalance_score,spearman,-0.015355096377550965,0.12468359095346207,0.13358613576652656,10000
ambient_temp_c,lidar_saturation_rate,spearman,0.017831683210335219,0.074572114926066108,0.082421811234073064,10000
ambient_temp_c,composite_health_score,spearman,0.67560495907493767,0,0,10000
battery_soc_roll_mean_50,battery_soc_roll_std_50,spearman,-0.016059514972980578,0.1083059285929006,0.1172383763119027,10000
battery_soc_roll_mean_50,cumulative_distance_m,spearman,-0.99162383874501181,0,0,10000
battery_soc_roll_mean_50,wheel_imbalance_score,spearman,-0.065259896651382085,6.4837612029630899e-11,9.866593134943833e-11,10000
battery_soc_roll_mean_50,lidar_saturation_rate,spearman,-0.044426501969201337,8.8182980612237425e-06,1.0642773522166586e-05,10000
battery_soc_roll_mean_50,composite_health_score,spearman,0.89577323323070224,0,0,10000
battery_soc_roll_std_50,cumulative_distance_m,spearman,-0.098220334403492829,7.2314630371238266e-23,1.3091441705137961e-22,10000
battery_soc_roll_std_50,wheel_imbalance_score,spearman,-0.016426096466458078,0.10048329678604957,0.10990360585974172,10000
battery_soc_roll_std_50,lidar_saturation_rate,spearman,-0.077018409698545939,1.2353614159163856e-14,2.02676482298782e-14,10000
battery_soc_roll_std_50,composite_health_score,spearman,0.065810308416879723,4.4774684745409686e-11,7.0169282063701748e-11,10000
cumulative_distance_m,wheel_imbalance_score,spearman,0.066912636716076904,2.1138631657608046e-11,3.3629641273467343e-11,10000
cumulative_distance_m,lidar_saturation_rate,spearman,0.046081296943420877,4.0266412537254686e-06,4.9740862546020497e-06,10000
cumulative_distance_m,composite_health_score,spearman,-0.89830563410222242,0,0,10000
wheel_imbalance_score,lidar_saturation_rate,spearman,0.015303606628430732,0.12595264229415362,0.13358613576652656,10000
wheel_imbalance_score,composite_health_score,spearman,-0.058441921278206924,4.9614378044158693e-09,6.9460129261822167e-09,10000
lidar_saturation_rate,composite_health_score,spearman,-0.26417114376534179,2.6568507481876247e-159,6.804129964870746e-159,10000
